Index,Programming Using C,Database I,Discrete Mathematics I,Computer Systems,Laboratory I,Software Engineering I,Data Structures and Algorithms II,Object Oriented Programming,Software Engineering II,Mathematical Methods I,Foundation of Computer Science,Probability and Statistics,Operating Systems I
20002132,A,B,A,B,B,C+,B-,A,C+,B-,C,C+,B+
20002149,A,A,A,A,A,A,A-,A,A,C-,B-,B,A+
20002157,A,A,B,A-,A,A,B,A,A,C+,B,B,A
20002165,A+,A-,B,B+,A,B,B,A+,B,C,B,C,A
20002173,B,C+,C+,C,B,F,C-,F,F,C-,F,C+,F
20002181,A+,A-,A,B+,A,B,B+,A+,B,C,A-,A,A+
20002191,A,A,A,A,A,A-,A,A,B+,C+,A,B+,A+
20002203,A,A,B,A,B,A,B+,A,B,C,D+,B,B
20002211,A,A,C+,B,A,A,B+,A,B,C,B-,B,A
20002221,B,B,C+,C,C+,C,D+,C,D+,C,D,D,B
20002238,B,C,C+,C,C,A-,B+,C+,C,E,D+,B,C+
20002246,C,C,C,C,D+,D+,B,C,B,D+,C,E,D+
17000904,F,C+,,,,,C,,,F,E,,
17001005,B,D+,,,D,C,B+,C,,,C-,,
17001536,F,F,,,F,,D+,E,D+,D,C-,,F
19000022,B,C,,D,C,C,C,,,F,F,,C+
19000154,C,,,,,,,,,D+,C-,,
19000308,F,,F,F,,,,,,F,F,,
19000342,F,F,F,F,F,F,F,F,F,F,F,F,F
19000545,F,F,,F,F,F,E,,,F,,F,
19000571,F,F,,,,F,,,,,F,,
19000652,B,E,C+,C+,D+,C,,,D+,D+,,,
19001012,B,E,C,D+,E,C,,,,C,D,,
19001282,F,F,,F,F,F,F,F,F,F,F,,
19001509,C,C,C+,D,B,C,E,F,D+,D+,E,D+,F
19001843,B,C+,B,C,,B,C,B+,A,E,D,C+,C
18001076,,F,,,,,,,,,,,
18001254,,B,,,,B-,,,,,,,
19000634,,F,,E,D+,B,C,D,C,D,D,C,C+
19000766,,F,,,,F,,,,D+,F,,
19000855,,F,,F,,F,,,,,,,
19001037,,F,,,,,,,,,,,F
19001304,,B,,C,,,,A,,,,,
19001584,,B,F,F,F,B+,,,,F,F,,
19001703,,F,F,F,F,F,F,F,F,F,F,F,F
19001878,,F,,F,,F,B,,,D,,,F
14001292,,,C,,,A-,,,,,C+,C,
15000062,,,C,,,,,F,,,F,,
19000146,,,F,F,,C+,F,,F,D,E,,F
19000202,,,F,C,,D+,C,,,D+,,,
19000561,,,C,,,B+,,,,,,,
19000596,,,F,,,,,,,,,,
19001525,,,D+,,,,,,,,,,
19001886,,,B,,,A,C+,,,,,,
19000758,,,,B,,B,C+,,,C,C+,,
19001649,,,,F,,,,,,F,,,
19001691,,,,F,,B+,,,,F,F,,
19001967,,,,F,,,,,,,C,,B
19001355,,,,,F,,,,,,,,A
18001319,,,,,,C,,C,,E,F,,C
18001531,,,,,,F,,C+,,,,,
19000261,,,,,,C,,,,,,,
19000901,,,,,,F,,,,F,F,,
19001029,,,,,,C,D+,,,,F,,
19001177,,,,,,C+,,,,,,,
19001231,,,,,,C,C,,,F,D,,
18001483,,,,,,,D+,,,,D+,,
18001491,,,,,,,C,,,,E,,
18001653,,,,,,,F,,,,,,
18001892,,,,,,,C,C,D+,,D+,,
18001947,,,,,,,D,,,,D+,,
19000502,,,,,,,D+,C,,,,,
19000804,,,,,,,F,,,F,F,,
19001185,,,,,,,D+,,,D,,,
19001711,,,,,,,C,,,D+,D,,
17001145,,,,,,,,C+,,,D,,
18000037,,,,,,,,E,,,,D+,F
18000207,,,,,,,,C,,,,,
18000215,,,,,,,,F,,,,,
18001351,,,,,,,,D,,,,,
19000057,,,,,,,,,C,,,,
19000121,,,,,,,,,B,,,,
19000405,,,,,,,,,B,,,,
19001861,,,,,,,,,F,,,,F
19000219,,,,,,,,,,F,,,
19000235,,,,,,,,,,D+,B,,
19000324,,,,,,,,,,F,,,
19000391,,,,,,,,,,F,,,
19000421,,,,,,,,,,C,,,
19000448,,,,,,,,,,D,,,
19000456,,,,,,,,,,F,,,
19000642,,,,,,,,,,F,,,
19000707,,,,,,,,,,C-,D+,,
19000731,,,,,,,,,,C,,,
19000741,,,,,,,,,,C,,,
19000782,,,,,,,,,,D+,,,A
19000812,,,,,,,,,,D+,,,
19000881,,,,,,,,,,C,,,
19000911,,,,,,,,,,C,,,
19000936,,,,,,,,,,D+,C,,
19000952,,,,,,,,,,E,,,
19001193,,,,,,,,,,D+,,,
19001215,,,,,,,,,,C,B,,
19001322,,,,,,,,,,F,,,
19001541,,,,,,,,,,C+,B+,,
19001657,,,,,,,,,,F,,,
18000381,,,,,,,,,,,B-,,
18001106,,,,,,,,,,,F,,
18001246,,,,,,,,,,,F,,
18001394,,,,,,,,,,,B,,
19000227,,,,,,,,,,,F,,
19000512,,,,,,,,,,,E,,
19000601,,,,,,,,,,,F,,
19000792,,,,,,,,,,,C,,
19000871,,,,,,,,,,,F,,
19001533,,,,,,,,,,,F,,
19001908,,,,,,,,,,,C+,,
18001025,,,,,,,,,,,E,,
19001045,,,,,,,,,,,,,B
